title,runtimeMinutes,averageRating,numVotes,director,writer,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay,genre-1,genre-2,genre-3,budgetYear,domesticGrossYear,worldwideGrossYear
Chariots of Fire,125,7.1,65466,Hugh Hudson,Colin Welland,5500000,61558162,61910507,1981,9,25,Biography,Drama,Sport,2776.3755678950024,31074.28672387683,31252.14891468955
Clash of the Titans,118,6.9,47460,Desmond Davis,Beverley Cross,15000000,30000000,44400000,1981,6,12,Action,Adventure,Family,7571.933366986371,15143.866733972742,22412.92276627966
The Four Seasons,107,6.8,5496,Alan Alda,Alan Alda,6500000,42488161,42488161,1981,5,22,Comedy,Drama,NA,3281.171125694094,21447.834931852598,21447.834931852598
Heartbeeps,78,4.2,1660,Allan Arkush,John Hill,10000000,6000000,6000000,1981,12,18,Comedy,Sci-Fi,NA,5047.955577990913,3028.773346794548,3028.773346794548
History of the World: Part I,92,6.8,54943,Mel Brooks,Mel Brooks,11000000,31672000,31672000,1981,6,12,Comedy,History,Musical,5552.751135790005,15987.884906612822,15987.884906612822
Creepshow,120,6.8,52865,George A. Romero,Stephen King,8000000,20036244,20036244,1982,11,10,Comedy,Fantasy,Horror,4036.326942482341,10109.103935418769,10109.103935418769
Diner,110,7.1,22649,Barry Levinson,Barry Levinson,5000000,12592907,12592907,1982,4,2,Comedy,Drama,NA,2522.704339051463,6353.6362260343085,6353.6362260343085
E.T. the Extra-Terrestrial,115,7.9,434856,Steven Spielberg,Melissa Mathison,10500000,439454989,797307407,1982,6,11,Adventure,Family,Sci-Fi,5297.6791120080725,221723.0015136226,402274.1710393542
Fast Times at Ridgemont High,90,7.1,114927,Amy Heckerling,Cameron Crowe,4500000,27092880,27093116,1982,8,13,Comedy,Drama,NA,2270.4339051463166,13669.465186680121,13669.584258324925
Gandhi,191,8.0,239538,Richard Attenborough,John Briley,22000000,52767889,127767889,1982,12,8,Biography,Drama,History,11099.899091826437,26623.556508577196,64464.12159434914
An Officer and a Gentleman,124,7.0,61833,Taylor Hackford,Douglas Day Stewart,6000000,129795554,129795554,1982,7,28,Drama,Romance,NA,3027.245206861756,65487.1614530777,65487.1614530777
Lovesick,95,5.2,896,Marshall Brickman,Marshall Brickman,10100000,10143618,10143618,1983,2,18,Comedy,Fantasy,Romance,5093.292990418558,5115.28895612708,5115.28895612708
Videodrome,87,7.2,102193,David Cronenberg,David Cronenberg,5952000,2120439,2120755,1983,2,4,Horror,Sci-Fi,Thriller,3001.512859304085,1069.3086232980334,1069.4679778113968
Footloose,107,6.6,90726,Herbert Ross,Dean Pitchford,8200000,80000000,80008940,1984,2,17,Drama,Music,Romance,4133.064516129032,40322.58064516129,40327.08669354839
Gremlins,106,7.3,246226,Joe Dante,Chris Columbus,11000000,151661913,152445758,1984,6,8,Comedy,Fantasy,Horror,5544.354838709677,76442.4964717742,76837.57963709677
The Karate Kid,126,7.3,242766,John G. Avildsen,Robert Mark Kamen,8000000,90815558,90858381,1984,6,22,Action,Drama,Family,4032.2580645161293,45773.97076612903,45795.55493951613
The Killing Fields,141,7.8,58790,Roland Joffé,Bruce Robinson,16000000,34609720,34609720,1984,11,2,Biography,Drama,History,8064.5161290322585,17444.415322580644,17444.415322580644
A Nightmare on Elm Street,91,7.4,260676,Wes Craven,Wes Craven,1800000,25504513,25542906,1984,11,9,Horror,NA,NA,907.258064516129,12855.097278225807,12874.448588709678
Repo Man,92,6.9,40532,Alex Cox,Alex Cox,1500000,2300000,2300400,1984,3,2,Action,Comedy,Crime,756.0483870967741,1159.274193548387,1159.475806451613
