title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Footloose,107,"Drama,Music,Romance",6.6,90726,Herbert Ross,Dean Pitchford,"Feb 17, 1984",8200000,80000000,80008940,1984,2,17
Gremlins,106,"Comedy,Fantasy,Horror",7.3,246226,Joe Dante,Chris Columbus,"Jun 8, 1984",11000000,151661913,152445758,1984,6,8
The Karate Kid,126,"Action,Drama,Family",7.3,242766,John G. Avildsen,Robert Mark Kamen,"Jun 22, 1984",8000000,90815558,90858381,1984,6,22
The Killing Fields,141,"Biography,Drama,History",7.8,58790,Roland Joffé,Bruce Robinson,"Nov 2, 1984",16000000,34609720,34609720,1984,11,2
A Nightmare on Elm Street,91,Horror,7.4,260676,Wes Craven,Wes Craven,"Nov 9, 1984",1800000,25504513,25542906,1984,11,9
Repo Man,92,"Action,Comedy,Crime",6.9,40532,Alex Cox,Alex Cox,"Mar 2, 1984",1500000,2300000,2300400,1984,3,2
After Hours,97,"Comedy,Crime,Drama",7.6,79963,Martin Scorsese,Joseph Minion,"Sep 13, 1985",4500000,10609321,10609321,1985,9,13
Day of the Dead,101,"Horror,Thriller",7.1,73957,George A. Romero,George A. Romero,"Jun 30, 1985",3500000,5804262,34004262,1985,6,30
Krush Groove,97,"Comedy,Drama,Music",6.4,3532,Michael Schultz,Ralph Farquhar,"Oct 25, 1985",3000000,11052713,11052713,1985,10,25
The Last Dragon,109,"Action,Comedy,Drama",6.8,17349,Michael Schultz,Louis Venosta,"Mar 22, 1985",10000000,33000000,33000750,1985,3,22
Silver Bullet,95,Horror,6.4,31244,Daniel Attias,Stephen King,"Oct 11, 1985",7000000,10803211,10803211,1985,10,11
Witchboard,98,"Horror,Mystery,Thriller",5.7,8176,Kevin Tenney,Kevin Tenney,"Dec 31, 1986",2000000,7369373,7369373,1986,12,31
April Fool's Day,89,"Horror,Mystery",6.1,18124,Fred Walton,Danilo Bach,"Mar 27, 1986",5000000,12947763,12947763,1986,3,27
Down by Law,107,"Comedy,Crime,Drama",7.7,55012,Jim Jarmusch,Jim Jarmusch,"Sep 26, 1986",1100000,1436000,1436000,1986,9,26
The Golden Child,94,"Action,Adventure,Comedy",6.0,59078,Michael Ritchie,Dennis Feldman,"Dec 12, 1986",12000000,79817937,79817937,1986,12,12
Platoon,120,"Drama,War",8.1,436698,Oliver Stone,Oliver Stone,"Dec 19, 1986",6000000,137963328,137978395,1986,12,19
Fatal Attraction,119,"Drama,Thriller",6.9,96308,Adrian Lyne,James Dearden,"Sep 18, 1987",14000000,156645693,320099997,1987,9,18
Hellraiser,94,"Horror,Thriller",6.9,139445,Clive Barker,Clive Barker,"Sep 11, 1987",1000000,14564000,14575148,1987,9,11
Ishtar,107,"Action,Adventure,Comedy",4.6,11845,Elaine May,Elaine May,"May 15, 1987",40000000,14375181,14375181,1987,5,15
La Bamba,108,"Biography,Drama,Music",6.9,36187,Luis Valdez,Luis Valdez,"Jul 24, 1987",6500000,54215416,54215416,1987,7,24
The Princess Bride,98,"Adventure,Comedy,Family",8.0,448669,Rob Reiner,William Goldman,"Sep 25, 1987",15000000,30857000,31046220,1987,9,25
Radio Days,88,Comedy,7.4,36066,Woody Allen,Woody Allen,"Jan 30, 1987",16000000,14792779,14792779,1987,1,30
Action Jackson,96,"Action,Comedy,Crime",5.5,12491,Craig R. Baxley,Robert Reneau,"Feb 12, 1988",7000000,20257000,20274718,1988,2,12
"Bright Lights, Big City",107,Drama,5.7,8919,James Bridges,Jay McInerney,"Apr 1, 1988",25000000,16118077,16118077,1988,4,1
Cocktail,104,"Comedy,Drama,Romance",5.9,91296,Roger Donaldson,Heywood Gould,"Jul 29, 1988",20000000,78222753,78222753,1988,7,29
Lady in White,113,"Fantasy,Horror,Mystery",6.5,7989,Frank LaLoggia,Frank LaLoggia,"Apr 22, 1988",4700000,1705139,1705139,1988,4,22
Midnight Run,126,"Action,Comedy,Crime",7.5,93742,Martin Brest,George Gallo,"Jul 20, 1988",30000000,38413606,81613606,1988,7,20
Phantasm II,97,"Action,Fantasy,Horror",6.4,16662,Don Coscarelli,Don Coscarelli,"Jul 8, 1988",3000000,7282851,7282851,1988,7,8
School Daze,121,"Comedy,Drama,Musical",6.1,7980,Spike Lee,Spike Lee,"Feb 12, 1988",6000000,14545844,14545844,1988,2,12
Young Guns,107,"Action,Drama,Western",6.8,67467,Christopher Cain,John Fusco,"Aug 12, 1988",13000000,44726644,44726644,1988,8,12
The Abyss,140,"Adventure,Drama,Mystery",7.5,190796,James Cameron,James Cameron,"Aug 9, 1989",70000000,54763229,54793434,1989,8,9
Dead Poets Society,128,"Comedy,Drama",8.1,539842,Peter Weir,Tom Schulman,"Jun 2, 1989",16400000,95860116,239500000,1989,6,2
Do the Right Thing,120,"Comedy,Drama",8.0,111574,Spike Lee,Spike Lee,"Jun 30, 1989",6000000,26004026,26051502,1989,6,30
Driving Miss Daisy,99,"Comedy,Drama,Romance",7.3,116922,Bruce Beresford,Alfred Uhry,"Dec 13, 1989",7500000,106593296,106593296,1989,12,13
